FID,OBJECTID,FID_cartod,name,holc_id,holc_grade,FID_100per,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,Shape_Leng,Shape_Area,area_sf
0,1,0, ,A,A,227,22071C,1.1.1.0,22071C_5265,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.002194197415490,0.000000124314848,14311.092974799999865
1,2,4,Bellaire Gardens Area,A4,A,1167,22071C,1.1.1.0,22071C_4537,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001509926790750,0.000000078053763,8985.987646920000770
2,3,4,Bellaire Gardens Area,A4,A,1168,22071C,1.1.1.0,22071C_4538,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000998985557227,0.000000064497953,7425.327728889999889
3,4,5,Canal Blvd. Area,A5,A,786,22071C,1.1.1.0,22071C_4763,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000654195387660,0.000000015845991,1824.135664630000065
4,5,5,Canal Blvd. Area,A5,A,790,22071C,1.1.1.0,22071C_4767,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.003267508874010,0.000000232305827,26741.741761199999019
5,6,5,Canal Blvd. Area,A5,A,793,22071C,1.1.1.0,22071C_4775,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001507269433900,0.000000100768464,11599.644325900000695
6,7,5,Canal Blvd. Area,A5,A,795,22071C,1.1.1.0,22071C_4777,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.004292573029070,0.000000087072361,10022.922694700000648
7,8,5,Canal Blvd. Area,A5,A,800,22071C,1.1.1.0,22071C_4791,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000104040241843,0.000000000559268,64.374033416000003
8,9,5,Canal Blvd. Area,A5,A,801,22071C,1.1.1.0,22071C_4792,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001062087795980,0.000000020561498,2366.700884750000114
9,10,5,Canal Blvd. Area,A5,A,1320,22071C,1.1.1.0,22071C_4769,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001556041656220,0.000000091060243,10482.204765599999519
10,11,5,Canal Blvd. Area,A5,A,1321,22071C,1.1.1.0,22071C_4770,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000524404871891,0.000000021050057,2423.121535180000137
11,12,5,Canal Blvd. Area,A5,A,1326,22071C,1.1.1.0,22071C_4782,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001084514228780,0.000000017425734,2005.825747200000023
12,13,5,Canal Blvd. Area,A5,A,1327,22071C,1.1.1.0,22071C_4783,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000170951059728,0.000000001894840,218.109191500000009
13,14,5,Canal Blvd. Area,A5,A,1330,22071C,1.1.1.0,22071C_4786,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001105088682540,0.000000036757937,4231.057027959999687
14,15,5,Canal Blvd. Area,A5,A,1336,22071C,1.1.1.0,22071C_4799,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.001069722373800,0.000000024397367,2808.073571590000029
15,16,5,Canal Blvd. Area,A5,A,1467,22071C,1.1.1.0,22071C_10456,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.029331946497300,0.000001634976734,188200.138387999992119
16,17,5,Canal Blvd. Area,A5,A,1468,22071C,1.1.1.0,22071C_10457,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.031988326850500,0.000001675246181,192835.052835000009509
17,18,5,Canal Blvd. Area,A5,A,1471,22071C,1.1.1.0,22071C_10460,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.059637060665100,0.000006411150444,737905.877748999977484
18,19,5,Canal Blvd. Area,A5,A,1472,22071C,1.1.1.0,22071C_10461,NP,AE, ,T,-5.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.081543242904300,0.000010559443513,1215379.893300000112504
19,20,6,Lake Vista,A6,A,817,22071C,1.1.1.0,22071C_4833,NP,AE, ,T,-3.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.014550077358700,0.000000383464242,44132.534916899996460
20,21,9,Fellman Tract,A9,A,879,22071C,1.1.1.0,22071C_4619,NP,AE, ,T,-1.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000124246903095,0.000000000835653,96.238411380000002
21,22,9,Fellman Tract,A9,A,1526,22071C,1.1.1.0,22071C_10506,NP,AE, ,T,-1.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.089397392183300,0.000034465764209,3969435.691980000119656
22,23,10, ,B,B,1550,22071C,1.1.1.0,22071C_10529,NP,AE, ,T,-3.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.007615843174630,0.000001620322410,186546.089206000004197
23,24,13,Part of Fairmont Park,B11,B,71,22071C,1.1.1.0,22071C_4903,NP,AE, ,T,-3.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.000849442101553,0.000000021285649,2450.353132730000198
24,25,13,Part of Fairmont Park,B11,B,1538,22071C,1.1.1.0,22071C_10517,NP,AE, ,T,-3.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.009008052425100,0.000000325418584,37461.305455900001107
25,26,15,Algiers,B13,B,1459,22071C,1.1.1.0,22071C_10446,NP,AE, ,T,-4.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.003660741132620,0.000000068404347,7875.822972730000401
26,27,16,Garden District,B14,B,1392,22071C,1.1.1.0,22071C_10813,NP,AE, ,T,2.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.005948408777550,0.000000318358869,36668.128690700003062
27,28,16,Garden District,B14,B,1602,22071C,1.1.1.0,22071C_10784,NP,AE, ,T,1.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.014382851333400,0.000004221787709,486262.288572999997996
28,29,16,Garden District,B14,B,1603,22071C,1.1.1.0,22071C_10785,NP,AE, ,T,0.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.022262801095900,0.000001653217995,190420.134098000009544
29,30,17, ,B15,B,938,22071C,1.1.1.0,22071C_4279,NP,AE, ,T,3.000000000000000,NAVD88,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,22071C_STUDY13,0.002113255458810,0.000000033461642,3854.373636350000197
